,task_name,fp_type,repeat_id,train_auc,valid_auc,test_auc
43,BACE,AtomPairFP,1,0.9329244953551723,0.7055792466240227,0.8295289855072463
44,BACE,AtomPairFP,2,0.9336844310958999,0.7077114427860697,0.8315217391304348
45,BACE,TorsionFP,0,0.902345463435077,0.7003375977256574,0.8052536231884058
46,BACE,TorsionFP,1,0.9026192638122512,0.7015813788201848,0.8086956521739131
47,BACE,TorsionFP,2,0.9003226933016693,0.6982054015636106,0.8083333333333333
48,BACE,AvalonFP,0,0.8948341132918909,0.6419687277896232,0.8010869565217391
49,BACE,AvalonFP,1,0.8964042746385417,0.6403695806680881,0.7992753623188406
50,BACE,AvalonFP,2,0.8943731228609344,0.6419687277896232,0.8005434782608696
51,BACE,EstateFP,0,0.863020185793113,0.6362828713574983,0.8186594202898552
52,BACE,EstateFP,1,0.8627882936369351,0.636549395877754,0.8203804347826087
53,BACE,EstateFP,2,0.8629098274778236,0.6362828713574983,0.8197463768115942
54,BACE,MACCSFP,0,0.9237200530837466,0.7335643212508884,0.793840579710145
55,BACE,MACCSFP,1,0.9239100370189286,0.7348969438521677,0.7942028985507246
56,BACE,MACCSFP,2,0.923831808339736,0.7367626154939588,0.7927536231884058
57,BACE,PharmacoErGFP,0,0.8575246210798352,0.687544420753376,0.779891304347826
58,BACE,PharmacoErGFP,1,0.8386994482084236,0.681592039800995,0.754891304347826
59,BACE,PharmacoErGFP,2,0.8389383250681008,0.681680881307747,0.754891304347826
60,BACE,PharmacoPFP,0,0.8506404973108892,0.6693319118692254,0.7848731884057972
61,BACE,PharmacoPFP,1,0.8505510931060977,0.6683546552949539,0.7854166666666668
62,BACE,PharmacoPFP,2,0.8504966124188028,0.6684434968017057,0.7852355072463767
63,BACE,PubChemFP,0,0.9495648529719913,0.7253020611229567,0.8539855072463769
64,BACE,PubChemFP,1,0.9482489348327163,0.7233475479744137,0.8538043478260869
65,BACE,PubChemFP,2,0.9490032828106446,0.7245913290689411,0.8518115942028986
66,BACE,MHFP6,0,0.9559013759865893,0.6862117981520967,0.6260869565217392
67,BACE,MHFP6,1,0.9509198854508626,0.6931414356787492,0.6210144927536232
68,BACE,MHFP6,2,0.9513445554236222,0.6908315565031983,0.6079710144927536
69,BACE,MAP4,0,0.9152266536285534,0.7149964463397299,0.797463768115942
70,BACE,MAP4,1,0.9184591744080465,0.7146410803127221,0.7960144927536231
71,BACE,MAP4,2,0.919294544946567,0.7146410803127221,0.7989130434782609
72,BBBP,MorganFP,0,0.994336444753015,0.9663237577639752,0.6981404759610752
73,BBBP,MorganFP,1,0.9989714315101956,0.9652562111801242,0.6967915984198864
74,BBBP,MorganFP,2,0.9988428604489701,0.9623447204968943,0.6976587339820792
75,BBBP,RDkitFP,0,0.9943595875440356,0.9409937888198758,0.6778109644474419
76,BBBP,RDkitFP,1,0.9943955874411787,0.9414790372670808,0.670488486366702
77,BBBP,RDkitFP,2,0.9948185862326107,0.9408967391304348,0.6778109644474419
78,BBBP,AtomPairFP,0,0.9804430558769831,0.9659355590062111,0.6981404759610753
79,BBBP,AtomPairFP,1,0.9794620586798323,0.9660326086956522,0.6950573272955005
80,BBBP,AtomPairFP,2,0.9801370567512665,0.9662267080745341,0.696695250024087
81,BBBP,TorsionFP,0,0.9844493301447711,0.9496312111801243,0.6713556219288949
82,BBBP,TorsionFP,1,0.9844274730643627,0.9502135093167702,0.6722227574910878
83,BBBP,TorsionFP,2,0.984509758543547,0.9492430124223603,0.6744387705944695
84,BBBP,AvalonFP,0,0.9843156162410964,0.967876552795031,0.7068118315830041
85,BBBP,AvalonFP,1,0.9842616163953819,0.9667119565217391,0.7079680123325947
86,BBBP,AvalonFP,2,0.9850883283190619,0.967391304347826,0.7033432893342327
87,BBBP,EstateFP,0,0.9529789914885958,0.9466226708074534,0.7147605742364389
88,BBBP,EstateFP,1,0.9531281339196174,0.9459433229813665,0.7134598708931497
89,BBBP,EstateFP,2,0.9530985625755357,0.9463315217391304,0.7141343096637441
90,BBBP,MACCSFP,0,0.9846859008974261,0.9729231366459627,0.6961171596492919
91,BBBP,MACCSFP,1,0.9845676155210985,0.9728260869565217,0.6947682821081029
92,BBBP,MACCSFP,2,0.9844454730129343,0.9725349378881988,0.6942865401291068
93,BBBP,PharmacoErGFP,0,0.9741212167965235,0.9492430124223602,0.7263705559302437
94,BBBP,PharmacoErGFP,1,0.9746277867777522,0.9502135093167702,0.7271413430966374
95,BBBP,PharmacoErGFP,2,0.9679806629123918,0.9486607142857143,0.7229983620772714
96,BBBP,PharmacoPFP,0,0.9466558666975237,0.9435656055900621,0.6926486174005203
97,BBBP,PharmacoPFP,1,0.9469991514309959,0.9430318322981366,0.6944792369207053
98,BBBP,PharmacoPFP,2,0.9467137236750752,0.9433715062111802,0.6928413141921187
99,BBBP,PubChemFP,0,0.985355756126411,0.9605978260869565,0.7366798342807592
100,BBBP,PubChemFP,1,0.9929735915040242,0.9620535714285715,0.738414105405145
101,BBBP,PubChemFP,2,0.9930751626423925,0.9614712732919255,0.7426534348203101
102,BBBP,MHFP6,0,0.9972845791869166,0.9056677018633541,0.6068021967434243
103,BBBP,MHFP6,1,0.9980482912905964,0.904211956521739,0.6147991135947587
104,BBBP,MHFP6,2,0.9979171488081462,0.9118788819875776,0.6077656807014161
105,BBBP,MAP4,0,0.9923307361978966,0.9443905279503105,0.6425474515849311
106,BBBP,MAP4,1,0.9913304533415618,0.9469138198757764,0.6543019558724347
107,BBBP,MAP4,2,0.993953302990563,0.9442934782608696,0.6502553232488679
