,task_name,fp_type,split-time,test_rmse,test_r2
80,FreeSolv,AtomPairFP,2,2.4352437009428796,0.6172993905619518
81,FreeSolv,TorsionFP,0,3.008336313995148,0.4183950493784101
82,FreeSolv,TorsionFP,1,3.1680200462270443,0.4239998951377591
83,FreeSolv,TorsionFP,2,2.9373005143611355,0.352237893006673
84,FreeSolv,AvalonFP,0,1.9730971358988658,0.7847364650826538
85,FreeSolv,AvalonFP,1,1.6575824028076787,0.8630003927831393
86,FreeSolv,AvalonFP,2,1.7767366978626815,0.7680553368508077
87,FreeSolv,EstateFP,0,1.6729173071997283,0.8282261042525134
88,FreeSolv,EstateFP,1,2.427813180128742,0.6813768810769413
89,FreeSolv,EstateFP,2,1.4667244327869675,0.8340242053117344
90,FreeSolv,MACCSFP,0,1.8200518448518759,0.788408323386946
91,FreeSolv,MACCSFP,1,1.5564427635195364,0.8615719882749997
92,FreeSolv,MACCSFP,2,1.7248375620285568,0.8054585800295109
93,FreeSolv,PharmacoErGFP,0,1.5984469701115596,0.8292664067286732
94,FreeSolv,PharmacoErGFP,1,2.4116308810306153,0.7053831973570818
95,FreeSolv,PharmacoErGFP,2,1.7457818888548076,0.7676970521107385
96,FreeSolv,PharmacoPFP,0,2.46583927564903,0.600795726362421
97,FreeSolv,PharmacoPFP,1,2.7393373651304795,0.5781916737220639
98,FreeSolv,PharmacoPFP,2,2.178466871928034,0.6476204688864929
99,FreeSolv,PubChemFP,0,1.2814478584877587,0.9062231348925998
100,FreeSolv,PubChemFP,1,2.3803247935147374,0.7364038986047801
101,FreeSolv,PubChemFP,2,1.7430971551544947,0.7781663522027993
102,FreeSolv,MHFP6,0,1.8775800842200834,0.795217594059428
103,FreeSolv,MHFP6,1,1.9518642414609724,0.7980818396575257
104,FreeSolv,MHFP6,2,2.36984452589681,0.6443971597168404
105,FreeSolv,MAP4,0,4.039731902757143,0.21343011988838487
106,FreeSolv,MAP4,1,3.1959422704071696,0.6006860426200841
107,FreeSolv,MAP4,2,3.6156275437598104,0.24360121257542966
