min_dist,n_neighbors,valid_best_loss,valid_best_auc,train_best_auc,best_epoch,test_auc
0.9,20,0.549174894288873,0.873990873990874,0.9931712886722438,76,0.886078431372549
0.95,20,0.6163712883775203,0.8653913653913654,0.9797650023055136,54,0.8874509803921569
0,25,0.535303798436329,0.8608283608283608,0.9941744614979251,82,0.8970588235294118
0.05,25,0.5026682794390135,0.8593366093366093,0.9784489383659399,51,0.887843137254902
0.1,25,0.4911689218010334,0.8624956124956126,0.9885273258239465,66,0.8835294117647059
0.15,25,0.5276724206197341,0.8552123552123552,0.9715461212480512,45,0.8833333333333334
0.2,25,0.6116685787129481,0.8649526149526149,0.976979173528314,54,0.9017647058823529
0.25,25,0.5099031130801763,0.8618813618813619,0.9917756296247503,72,0.8896078431372549
0.3,25,0.622358967075186,0.860916110916111,0.9938135388533913,90,0.8952941176470589
0.35,25,0.7185255237762501,0.8676728676728677,0.9994894934457546,189,0.8935294117647059
0.4,25,0.5937563332895569,0.8677606177606179,0.9921653711876687,68,0.8715686274509803
0.45,25,0.7031743841258106,0.868023868023868,0.9993152076059988,186,0.8713725490196078
0.5,25,0.5135584169665709,0.8728501228501229,0.986680170388424,62,0.8864705882352941
0.55,25,0.7539287729571197,0.8573183573183573,0.999471653162945,189,0.8819607843137254
0.6,25,0.5115854514651741,0.8676728676728677,0.9964484113914323,87,0.882156862745098
0.65,25,0.48430195736964016,0.861003861003861,0.9760089366093583,48,0.8864705882352941
0.7,25,0.570444785823293,0.8695156195156195,0.992188700788266,68,0.8829411764705881
0.75,25,0.5220296064157359,0.8671463671463671,0.974463693652153,45,0.8672549019607843
0.8,25,0.49952272098782835,0.8674973674973675,0.9948016160551567,84,0.8941176470588235
0.85,25,0.5142280687362153,0.8632853632853633,0.974821871637793,46,0.8854901960784314
0.9,25,0.6261010336634142,0.8752193752193752,0.9821061963419186,54,0.875686274509804
0.95,25,0.5040859405370738,0.865128115128115,0.9803057001075907,51,0.892549019607843
0,30,0.614789773198153,0.8606528606528607,0.9987278506027271,141,0.8890196078431373
0.05,30,0.6832992846010536,0.8625833625833625,0.9994455789034539,190,0.886078431372549
0.1,30,0.5523204313504775,0.8727623727623728,0.9985796390224624,132,0.886078431372549
0.15,30,0.5038715376956573,0.8617936117936118,0.9942293546758009,84,0.8947058823529412
0.2,30,0.526758517033809,0.878027378027378,0.9890350877192983,68,0.8937254901960783
0.25,30,0.6516705103563947,0.8697788697788698,0.9989048811013768,141,0.8894117647058822
0.3,30,0.661161502958923,0.8643383643383643,0.9993577498188525,189,0.8796078431372549
0.35,30,0.6332621368153996,0.857932607932608,0.9755944931163956,54,0.8896078431372549
0.4,30,0.5037441931615602,0.8659178659178659,0.9759540434314823,51,0.8866666666666666
0.45,30,0.5037967223205314,0.8636363636363636,0.9936282743780603,84,0.8952941176470589
0.5,30,0.488604990753117,0.8635486135486136,0.9837186834420218,60,0.8880392156862745
0.55,30,0.5464664610065767,0.8714461214461213,0.9689894714884834,45,0.8811764705882352
0.6,30,0.5082177953017468,0.8624078624078624,0.9791899962672639,51,0.893921568627451
0.65,30,0.5093345950228094,0.8662688662688662,0.9865264694903717,62,0.8941176470588235
0.7,30,0.6232079708615675,0.862056862056862,0.9984163318182816,117,0.8849019607843137
0.75,30,0.6230097501877917,0.8588978588978589,0.9778917726105001,54,0.8766666666666667
0.8,30,0.5105949647181871,0.8633731133731134,0.9759609050787168,51,0.8882352941176471
