n_neighbors,min_dist,valid_best_loss,valid_best_auc,train_best_auc,best_epoch
0.2,40,0.647211054627576,0.8452044140701549,0.9065341767708436,4
0.3,40,0.6553810058415676,0.8293023099157358,0.9629943150805429,8
0.4,40,0.647301514740556,0.8319309719772682,0.9770539464009419,9
0.5,40,0.6304954637105581,0.8481959141681364,0.9544388578203193,8
0.6,40,0.624580508763269,0.8468547912992357,0.9645563454039408,8
0.7,40,0.7180467552290095,0.8416219625710365,0.9702289366511476,9
0.8,40,0.6537320010206458,0.8323106505976875,0.9353854685211848,6
0.9,40,0.6156641245069453,0.8506393298059965,0.9527909016683528,7
0,50,0.7130609464100496,0.8343192729766803,0.9468004681541579,7
0.1,50,0.602943076295862,0.8558874681559867,0.9701368723480251,9
0.2,50,0.698775548613799,0.8360523221634333,0.9083549585341558,5
0.3,50,0.6413860346659123,0.8308776699980401,0.9669353182656807,8
0.4,50,0.6343530929787096,0.8337221977268273,0.9473138573589724,7
0.5,50,0.7622994270792501,0.8508352929649224,0.9531014392787736,7
0.6,50,0.8702323461952738,0.843195791691162,0.9432094605400915,7
0.7,50,0.6420075935428229,0.8360860033313735,0.8985133050346666,4
0.8,50,0.6874349173072363,0.8422282235939643,0.9470149559383116,7
0.9,50,0.6379766801130792,0.840697261414854,0.9678463499066848,9
0,60,0.819725785091965,0.843942901234568,0.9227709033127975,6
0.1,60,0.6533839620075578,0.8370413237311386,0.9748848478560499,9
0.2,60,0.6641707327601801,0.8449472124240643,0.9414623789169876,6
0.3,60,0.6137301533030327,0.8482785861258083,0.9571830506952392,7
0.4,60,0.7074262770660422,0.8339824612972759,0.9166442315460283,5
0.5,60,0.635284098303147,0.8371791103272583,0.9575544348133472,8
0.6,60,0.6216510410563023,0.8412147266313932,0.9414996967414159,6
0.7,60,0.6825900853709121,0.8356940770135215,0.9113633493034485,5
0.8,60,0.611774478990783,0.8457310650597686,0.9745891246017554,9
0.9,60,0.7304745657206915,0.8321085635900451,0.9415069245068614,6
0,70,0.6345044979062534,0.8371423672349597,0.9534411698850899,7
0.1,70,0.8021536842187825,0.8287894375857339,0.9305939085623083,6
0.2,70,0.6610789258361819,0.842001641191456,0.9552914778391587,8
0.3,70,0.6625875154826695,0.8478682882618068,0.9100638509001182,5
0.4,70,0.8541835169127873,0.8341845483049187,0.9309672790343951,6
0.5,70,0.837236434518349,0.8395459778561631,0.9325778276556245,6
0.6,70,0.686576537833201,0.8390499461101313,0.9700933776034821,9
0.7,70,0.7262156454571372,0.8364381246325691,0.9230102781900282,5
0.8,70,0.7735795115224642,0.8381619880462473,0.8907564902258057,4
0.9,70,0.6693832977189653,0.8397756221830296,0.9633480142406459,8
0,80,0.6550086195266598,0.8245272388790906,0.9616861151652666,8
0.1,80,0.6419965201866995,0.8340192043895748,0.9628350863825618,8
0.2,80,0.6471767856812146,0.8412208504801097,0.9138914909414058,5
0.3,80,0.6418993231620111,0.844193979031942,0.916257110378333,5
0.4,80,0.6253867653521661,0.8445430384087791,0.9386092825832791,6
0.5,80,0.7400652543199402,0.8356971389378798,0.9467354951562694,7
0.6,80,0.6920171202953616,0.8333578287281991,0.9076282092816401,4
0.7,80,0.6502773979343175,0.835204169116206,0.9234688183946528,5
0.8,80,0.6580199543182907,0.8396072163433272,0.910524915696574,5
0.9,80,0.6392437145856649,0.842653831079757,0.9740146197703272,9
0,90,0.7272288404675026,0.8276748971193415,0.9517233453338162,8
0.1,90,0.787472377822198,0.8414443709582599,0.917555083774415,5
0.2,90,0.7419053000702986,0.842987580834803,0.9194199497808707,5
0.3,90,0.6634663546531704,0.8483306388398982,0.9308134455301242,6
0.4,90,0.6513114350789253,0.8401981677444641,0.8963720923366001,4
0.5,90,0.6579470529902338,0.8356512100725063,0.9286462308177156,6
0.6,90,0.7593666314426606,0.830400009798158,0.9000490898551698,4
0.7,90,0.6926518433464435,0.8346070938663532,0.9357910691884769,6
0.8,90,0.7487309723186748,0.8377516901822457,0.9226658572252844,5
0.9,90,0.6986396239675109,0.8387161963550852,0.9629131308711498,8
0,100,0.6512084676203228,0.8328250538898686,0.9154781392389543,5
0.1,100,0.6404522367486576,0.8363370811287477,0.9198130043801283,5
0.2,100,0.6339419386282821,0.8372403488144229,0.9305380599775355,5
0.3,100,0.6606704059552602,0.8368024936311973,0.9670423378919857,8
0.4,100,0.6390941608257894,0.8350173917303547,0.9471949196087944,7
0.5,100,0.6469862196397932,0.8354583088379385,0.9158446664012043,5
0.6,100,0.6723779584553999,0.8355532284930434,0.9682782088920583,8
0.7,100,0.656098461556168,0.8415117332941406,0.9409110567587706,6
0.8,100,0.685154858149666,0.842543601802861,0.9549261809348566,7
0.9,100,0.6415127857363836,0.8266920194003526,0.9518256233409459,6
